"","ID","Overall.Rating","Program.Expenses","Administrative.Expenses","Fundraising.Expenses","Fundraising.Efficiency","Working.Capital.Ratio..years.","Program.Expenses.Growth","Liabilities.to.Assets","Independent.Voting.Board.Members","No.Material.diversion.of.assets","Audited.financials.prepared.by.independent.accountant","Does.Not.Provide.Loan.s..to.or.Receive.Loan.s..From.related.parties","Documents.Board.Meeting.Minutes","Provided.copy.of.Form.990.to.organization.s.governing.body.in.advance.of.filing","Conflict.of.Interest.Policy","Whistleblower.Policy","Records.Retention.and.Destruction.Policy","CEO.listed.with.salary","Process.for.determining.CEO.compensation","Board.Listed...Board.Members.Not.Compensated","Donor.Privacy.Policy","Board.Members.Listed","Audited.Financials","Form.990","Key.staff.listed","reg_prediction","reg_error"
"48",55,93.98,0.913,0.031,0.055,0.09,1.64,0.274,0.735,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,91.3702710696358,2.60972893036424
"49",57,96.35,0.845,0.048,0.106,0.09,1.02,0.217,0.062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.3285672110696,1.0214327889304
"50",58,90.21,0.817,0.128,0.053,0.2,2.35,0.046,0.09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.7039455025548,-1.49394550255485
"51",59,88.42,0.776,0.082,0.141,0.16,4.99,0.211,0.171,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,87.9503396479426,0.469660352057375
"52",60,84.01,0.913,0.066,0.02,0.04,0.19,0.081,0.523,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.9491138673141,-2.93911386731406
"53",61,88.22,0.904,0.064,0.031,0.04,1.57,-0.024,0.072,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,90.7993729633586,-2.57937296335861
"54",62,89.04,0.877,0.073,0.049,0.06,0.34,-0.008,0.002,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.3549837507768,0.685016249223253
"55",63,88.18,0.791,0.111,0.096,0.12,1.42,-0.015,0.105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.8943131972197,-0.714313197219667
"56",64,91.65,0.724,0.122,0.153,0.16,2.37,0.133,0.056,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.4801771079926,3.16982289200739
"57",65,89.24,0.857,0.071,0.07,0.05,2.71,0.302,0.26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,89.6557607226886,-0.415760722688646
